Wavelength (nm),1_Co3O4_b2_d2_c3_s8 - quartz
826,0.22857
827,0.22625
828,0.2224
829,0.21938
830,0.2138
831,0.21099
832,0.20787
833,0.20483
834,0.20167
835,0.19913
836,0.19615
837,0.19334
838,0.1902
839,0.18776
840,0.18575
841,0.18274
842,0.17964
843,0.17733
844,0.17413
845,0.17271
846,0.1709
847,0.16805
848,0.16533
849,0.1622
850,0.16006
851,0.15953
852,0.15751
853,0.15515
854,0.15291
855,0.15021
856,0.14838
857,0.14661
858,0.14555
859,0.14391
860,0.14295
861,0.14105
862,0.13994
863,0.13802
864,0.13696
865,0.13612
866,0.13466
867,0.13291
868,0.13157
869,0.13012
870,0.12857
871,0.12757
872,0.12547
873,0.12453
874,0.12281
875,0.1215
876,0.12024
877,0.11937
878,0.11952
879,0.11888
880,0.11648
881,0.11562
882,0.11449
883,0.11356
884,0.11224
885,0.11159
886,0.11034
887,0.10956
888,0.10861
889,0.10866
890,0.10698
891,0.10586
892,0.10511
893,0.10522
894,0.1041
895,0.10303
896,0.10157
897,0.10143
898,0.10033
899,0.09935
900,0.09836
901,0.09822
902,0.09727
903,0.09756
904,0.09678
905,0.09574
906,0.09529
907,0.09424
908,0.09428
909,0.09336
910,0.0922
911,0.09122
912,0.09023
913,0.09028
914,0.08958
915,0.08887
916,0.08899
917,0.08766
918,0.08656
919,0.08656
920,0.08649
921,0.08542
922,0.08533
923,0.08548
924,0.08435
925,0.08459
926,0.08341
927,0.08269
928,0.08247
929,0.08132
930,0.08093
931,0.07976
932,0.07997
933,0.07903
934,0.07818
935,0.0784
936,0.07851
937,0.07751
938,0.07728
939,0.07723
940,0.07741
941,0.07645
942,0.07628
943,0.0752
944,0.07526
945,0.07541
946,0.07435
947,0.07427
948,0.07349
949,0.07355
950,0.07376
951,0.07249
952,0.07231
953,0.07225
954,0.07228
955,0.07142
956,0.07149
957,0.07163
958,0.0717
959,0.0703
960,0.07021
961,0.06911
962,0.06924
963,0.06946
964,0.06865
965,0.06867
966,0.06852
967,0.0673
968,0.06722
969,0.06737
970,0.06744
971,0.06754
972,0.06752
973,0.06644
974,0.06646
975,0.06545
976,0.0655
977,0.06537
978,0.06531
979,0.06537
980,0.06438
981,0.06435
982,0.06341
983,0.06338
984,0.06324
985,0.06336
986,0.06335
987,0.06248
988,0.06236
989,0.06227
990,0.06225
991,0.06209
992,0.06215
993,0.06217
994,0.06123
995,0.06133
996,0.06128
997,0.06127
998,0.06131
999,0.06036
1000,0.06033
1001,0.06029
1002,0.06021
1003,0.06018
1004,0.05931
1005,0.06026
1006,0.06041
1007,0.05924
1008,0.05911
1009,0.0591
1010,0.0592
1011,0.05952
1012,0.05958
1013,0.05954
1014,0.05828
1015,0.05821
1016,0.05809
1017,0.05831
1018,0.05826
1019,0.05833
1020,0.05824
1021,0.05738
1022,0.05755
1023,0.05767
1024,0.05765
1025,0.05755
1026,0.05738
1027,0.05733
1028,0.05762
1029,0.05772
1030,0.05758
1031,0.05729
1032,0.05633
1033,0.05732
1034,0.05636
1035,0.05622
1036,0.05615
1037,0.0563
1038,0.05634
1039,0.05644
1040,0.05653
1041,0.05642
1042,0.05664
1043,0.05653
1044,0.05651
1045,0.0565
1046,0.05628
1047,0.05637
1048,0.05626
1049,0.05626
1050,0.05532
1051,0.05535
1052,0.05542
1053,0.05527
1054,0.05523
1055,0.05531
1056,0.05544
1057,0.05545
1058,0.05536
1059,0.05532
1060,0.05544
1061,0.0554
1062,0.05551
1063,0.05547
1064,0.05551
1065,0.05544
1066,0.05537
1067,0.05538
1068,0.05554
1069,0.05546
1070,0.05547
1071,0.05545
1072,0.05541
1073,0.0564
1074,0.05637
1075,0.05637
1076,0.05636
1077,0.05627
1078,0.05639
1079,0.05637
1080,0.0567
1081,0.05674
1082,0.05683
1083,0.05628
1084,0.05618
1085,0.0561
1086,0.05634
1087,0.05637
1088,0.05642
1089,0.05625
1090,0.0564
1091,0.05652
1092,0.05653
1093,0.05645
1094,0.05738
1095,0.05745
1096,0.0574
1097,0.05725
1098,0.05727
1099,0.05819
1100,0.05826
1101,0.05838
1102,0.0583
1103,0.05828
1104,0.0582
1105,0.05846
1106,0.05835
1107,0.05944
1108,0.05929
1109,0.05943
1110,0.05929
1111,0.05942
1112,0.06039
1113,0.06049
1114,0.06031
1115,0.06025
1116,0.0613
1117,0.06132
1118,0.06142
1119,0.06139
1120,0.06143
1121,0.0615
1122,0.06244
1123,0.06242
1124,0.0624
1125,0.0625
1126,0.06263
1127,0.06243
1128,0.06322
1129,0.06323
1130,0.06342
1131,0.06333
1132,0.06429
1133,0.06443
1134,0.06458
1135,0.06476
1136,0.06462
1137,0.06564
1138,0.06545
1139,0.06553
1140,0.06555
1141,0.06651
1142,0.06646
1143,0.06733
1144,0.06743
1145,0.06731
1146,0.06738
1147,0.0685
1148,0.06864
1149,0.06968
1150,0.06957
1151,0.06946
1152,0.06942
1153,0.06937
1154,0.07052
1155,0.07048
1156,0.07149
1157,0.0715
1158,0.07239
1159,0.07256
1160,0.07251
1161,0.07277
1162,0.07346
1163,0.07346
1164,0.07443
1165,0.07446
1166,0.07543
1167,0.07548
1168,0.07658
1169,0.07665
1170,0.07751
1171,0.07746
1172,0.0785
1173,0.07852
1174,0.07962
1175,0.07957
1176,0.08067
1177,0.08058
1178,0.0816
1179,0.08143
1180,0.08152
1181,0.08252
1182,0.0825
1183,0.08354
1184,0.08456
1185,0.08555
1186,0.08556
1187,0.08648
1188,0.08751
1189,0.08717
1190,0.08815
1191,0.08908
1192,0.08934
1193,0.09041
1194,0.09061
1195,0.09159
1196,0.09145
1197,0.09226
1198,0.09226
1199,0.09346
1200,0.09456
1201,0.09445
1202,0.09543
1203,0.09553
1204,0.09668
1205,0.09673
1206,0.09779
1207,0.09875
1208,0.09878
1209,0.09971
1210,0.10078
1211,0.1008
1212,0.10181
1213,0.10166
1214,0.10252
1215,0.10237
1216,0.10353
1217,0.10361
1218,0.10472
1219,0.10456
1220,0.10539
1221,0.10536
1222,0.10649
1223,0.10648
1224,0.10756
1225,0.10774
1226,0.10779
1227,0.10882
1228,0.10868
1229,0.10869
1230,0.10977
1231,0.10979
1232,0.11089
1233,0.11063
1234,0.1106
1235,0.11075
1236,0.11172
1237,0.11163
1238,0.11139
1239,0.11258
1240,0.11271
